title,year
Resident Evil: Retribution,2012
Resolution,2012
Rise of the Guardians,2012
Robot & Frank,2012
Rock of Ages,2012
Room 237,2012
Ruby Sparks,2012
Run for Your Wife,2012
Safe,2012
Safe House,2012
Safety Not Guaranteed,2012
Sassy Pants,2012
Savages,2012
Save the Date,2012
Searching for Sugar Man,2012
Secret of the Wings,2012
See Girl Run,2012
Seeking a Friend for the End of the World,2012
Seven Psychopaths,2012
Shadow Dancer,2012
She Wants Me,2012
Sightseers,2012
Silent Hill: Revelation 3D,2012
Silver Linings Playbook,2012
Sinister,2012
Skyfall,2012
Sleepwalk with Me,2012
Small Apartments,2012
Smashed,2012
Smiley,2012
Snow White and the Huntsman,2012
So Undercover,2012
Soldiers of Fortune,2012
Somebody Up There Likes Me,2012
Song for Marion,2012
Sparkle,2012
Spike Island,2012
Spring Breakers,2012
Stand Up Guys,2012
Starlet,2012
Starship Troopers: Invasion,2012
Step Up Revolution,2012
Still Mine,2012
Stolen,2012
Storage 24,2012
Stories We Tell,2012
StreetDance 2,2012
Struck by Lightning,2012
Stuck in Love,2012
Tai Chi Hero,2012
Taken 2,2012
Tar,2012
Ted,2012
That's My Boy,2012
The ABCs of Death,2012
The Act of Killing,2012
The Amazing Spider-Man,2012
The Angels' Share,2012
The Apparition,2012
The Attack,2012
The Avengers,2012
The Bates Haunting,2012
The Bay,2012
The Baytown Outlaws,2012
The Bourne Legacy,2012
The Brass Teapot,2012
The Broken Circle Breakdown,2012
The Cabin in the Woods,2012
The Campaign,2012
The Citizen,2012
The Cold Light of Day,2012
The Collection,2012
The Company You Keep,2012
The Conspiracy,2012
The Courier,2012
The Dark Knight Rises,2012
The Devil Inside,2012
The Dictator,2012
The Dinosaur Project,2012
The End of Love,2012
The Expatriate,2012
The Expendables 2,2012
The Factory,2012
The First Time,2012
The Five-Year Engagement,2012
The Forger,2012
The Gatekeepers,2012
The Giant Mechanical Man,2012
The Guest House,2012
The Guilt Trip,2012
The Helpers,2012
The Hobbit: An Unexpected Journey,2012
The Hunger Games,2012
The Iceman,2012
The Imposter,2012
The Last Ride,2012
The Last Will and Testament of Rosalind Leigh,2012
The Lorax,2012
The Lords of Salem,2012
The Lucky One,2012
The Magic of Belle Isle,2012
The Man with the Iron Fists,2012
The Master,2012
The Motel Life,2012
The Odd Life of Timothy Green,2012
The Pact,2012
The Paperboy,2012
The Patience Stone,2012
The Perks of Being a Wallflower,2012
The Philly Kid,2012
The Pirates! In an Adventure with Scientists!,2012
The Place Beyond the Pines,2012
The Possession,2012
The Queen of Versailles,2012
The Raven,2012
The Reluctant Fundamentalist,2012
The Rise,2012
The Samaritan,2012
The Sapphires,2012
The Sweeney,2012
The Tall Man,2012
The Thompsons,2012
The Three Stooges,2012
The Truth,2012
The Twilight Saga: Breaking Dawn - Part 2,2012
The Vow,2012
The Watch,2012
The Woman in Black,2012
The Words,2012
Therese Desqueyroux,2012
Think Like a Man,2012
This Is 40,2012
This Means War,2012
Tim and Eric's Billion Dollar Movie,2012
To Rome with Love,2012
To the Wonder,2012
Total Recall,2012
Tower Block,2012
Transit,2012
Trouble with the Curve,2012
Truth or Dare,2012
Un plan parfait,2012
Unconditional,2012
Under the Bed,2012
Underworld: Awakening,2012
Universal Soldier: Day of Reckoning,2012
Upside Down,2012
V/H/S,2012
Vamps,2012
Venuto al mondo,2012
Wadjda,2012
Wanderlust,2012
West of Memphis,2012
What Maisie Knew,2012
What Richard Did,2012
What to Expect When You're Expecting,2012
Wish You Were Here,2012
Won't Back Down,2012
Would You Rather,2012
Wrath of the Titans,2012
Wreck-It Ralph,2012
Wrong,2012
Wrong Turn 5: Bloodlines,2012
Yi jiu si er,2012
Zambezia,2012
Zero Dark Thirty,2012
[REC]3 Genesis,2012
1408,2007
2 Days in Paris,2007
28 Weeks Later,2007
30 Days of Night,2007
3:10 to Yuma,2007
4: Rise of the Silver Surfer,2007
88 Minutes,2007
A Mighty Heart,2007
A l'interieur,2007
AVPR: Aliens vs Predator - Requiem,2007
Across the Universe,2007
Alvin and the Chipmunks,2007
American Gangster,2007
An American Crime,2007
Anamorph,2007
Arn: Tempelriddaren,2007
Atonement,2007
August Rush,2007
Awake,2007
Balls of Fury,2007
Battle in Seattle,2007
Because I Said So,2007
Becoming Jane,2007
Bee Movie,2007
Before the Devil Knows You're Dead,2007
Beowulf,2007
Big Stan,2007
Bill,2007
Blades of Glory,2007
Blood and Chocolate,2007
Borderland,2007
Boy A,2007
Bratz,2007
Breach,2007
Bridge to Terabithia,2007
Butterfly on a Wheel,2007
Captivity,2007
Cassandra's Dream,2007
Chapter 27,2007
Charlie Bartlett,2007
Charlie Wilson's War,2007
Cleaner,2007
Control,2007
Cougar Club,2007
Daddy's Little Girls,2007
Dan in Real Life,2007
Dead Silence,2007
Death Proof,2007
Death Sentence,2007
Death at a Funeral,2007
Diary of the Dead,2007
Disturbia,2007
El orfanato,2007
Elizabeth: The Golden Age,2007
Enchanted,2007
Epic Movie,2007
Evan Almighty,2007
Evening,2007
Feast of Love,2007
Fracture,2007
Freedom Writers,2007
Frontiere(s),2007
Funny Games U.S.,2007
Gabriel,2007
Georgia Rule,2007
Ghost Rider,2007
Gone Baby Gone,2007
Good Luck Chuck,2007
Grindhouse,2007
Hairspray,2007
Halloween,2007
Hannibal Rising,2007
Harry Potter and the Order of the Phoenix,2007
Hitman,2007
Hostel: Part II,2007
Hot Fuzz,2007
Hot Rod,2007
I Am Legend,2007
I Could Never Be Your Woman,2007
I Know Who Killed Me,2007
I Think I Love My Wife,2007
I'm Not There.,2007
In the Land of Women,2007
In the Valley of Elah,2007
Into the Wild,2007
Juno,2007
Knocked Up,2007
La misma luna,2007
La mome,2007
Lars and the Real Girl,2007
Le scaphandre et le papillon,2007
License to Wed,2007
Lions for Lambs,2007
Live Free or Die Hard,2007
Los cronocrimenes,2007
Mama's Boy,2007
Meet the Robinsons,2007
Michael Clayton,2007
Mr. Bean's Holiday,2007
Mr. Brooks,2007
Mr. Magorium's Wonder Emporium,2007
Music and Lyrics,2007
My Blueberry Nights,2007
Nancy Drew,2007
National Treasure: Book of Secrets,2007
Next,2007
No Country for Old Men,2007
No Reservations,2007
Norbit,2007
Ocean's Thirteen,2007
P.S. I Love You,2007
Paranormal Activity,2007
Pathfinder,2007
Perfect Stranger,2007
Pirates of the Caribbean: At World's End,2007
Planet Terror,2007
Postal,2007
Premonition,2007
Ratatouille,2007
Redline,2007
Reign Over Me,2007
Rendition,2007
Reservation Road,2007
Resident Evil: Extinction,2007
Rise of the Footsoldier,2007
Run Fatboy Run,2007
Rush Hour 3,2007
Savage Grace,2007
Saw IV,2007
Scar,2007
"Se, jie",2007
Shoot 'Em Up,2007
Shooter,2007
Shrek the Third,2007
Shrooms,2007
Smiley Face,2007
Son of Rambow,2007
Spider-Man 3,2007
St. Trinian's,2007
Stardust,2007
Stomp the Yard,2007
Sunshine,2007
Superbad,2007
Surf's Up,2007
Sweeney Todd: The Demon Barber of Fleet Street,2007
Sydney White,2007
TMNT,2007
Taare Zameen Par,2007
Ten Inch Hero,2007
The Assassination of Jesse James by the Coward Robert Ford,2007
The Babysitters,2007
The Bourne Ultimatum,2007
The Brave One,2007
The Bucket List,2007
The Condemned,2007
The Darjeeling Limited,2007
The Game Plan,2007
The Girl Next Door,2007
The Golden Compass,2007
The Great Debaters,2007
The Heartbreak Kid,2007
The Hills Have Eyes II,2007
The Hitcher,2007
The Hunting Party,2007
The Invasion,2007
The Jane Austen Book Club,2007
The Kingdom,2007
The Kite Runner,2007
The Last Legion,2007
The Last Mimzy,2007
The Lookout,2007
The Man from Earth,2007
The Messengers,2007
The Nanny Diaries,2007
The Nines,2007
The Number 23,2007
The Poughkeepsie Tapes,2007
The Reaping,2007
The Simpsons Movie,2007
The Take,2007
The Visitor,2007
The Water Horse,2007
There Will Be Blood,2007
Things We Lost in the Fire,2007
Trade,2007
Transformers,2007
Tropa de Elite,2007
Vacancy,2007
Waitress,2007
Walk Hard: The Dewey Cox Story,2007
War,2007
We Own the Night,2007
Wild Hogs,2007
Zodiac,2007
[Rec],2007
Ben-Hur,1959
Middle of the Night,1959
North by Northwest,1959
Rio Bravo,1959
Sleeping Beauty,1959
Some Like It Hot,1959
Yellowstone Kelly,1959
American Graffiti,1973
Badlands,1973
Don't Look Now,1973
Enter the Dragon,1973
High Plains Drifter,1973
Live and Let Die,1973
Mean Streets,1973
Papillon,1973
Robin Hood,1973
Serpico,1973
Soylent Green,1973
The Exorcist,1973
The Sting,1973
The Way We Were,1973
The Wicker Man,1973
Westworld,1973
101 Dalmatians,1996
Beautiful Girls,1996
Bio-Dome,1996
Bottle Rocket,1996
Bound,1996
Broken Arrow,1996
Bulletproof,1996
Courage Under Fire,1996
D3: The Mighty Ducks,1996
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
DragonHeart,1996
Emma,1996
Eraser,1996
Escape from L.A.,1996
Everyone Says I Love You,1996
Evita,1996
Executive Decision,1996
Fargo,1996
Fear,1996
First Kid,1996
Fly Away Home,1996
From Dusk Till Dawn,1996
Hamlet,1996
Happy Gilmore,1996
Harriet the Spy,1996
Homeward Bound II: Lost in San Francisco,1996
Independence Day,1996
Jack,1996
James and the Giant Peach,1996
Jane Eyre,1996
Jerry Maguire,1996
Jingle All the Way,1996
Kingpin,1996
Last Man Standing,1996
Lone Star,1996
Mars Attacks!,1996
Marvin's Room,1996
Matilda,1996
Michael,1996
Mission: Impossible,1996
One Fine Day,1996
Phenomenon,1996
Primal Fear,1996
Pusher,1996
Ransom,1996
Romeo + Juliet,1996
Scream,1996
Set It Off,1996
She's the One,1996
Shine,1996
Sleepers,1996
Sling Blade,1996
Space Jam,1996
Spy Hard,1996
Star Trek: First Contact,1996
Stealing Beauty,1996
Striptease,1996
That Thing You Do!,1996
The Arrival,1996
The Cable Guy,1996
The Craft,1996
The Crucible,1996
The First Wives Club,1996
The Frighteners,1996
The Ghost and the Darkness,1996
The Glimmer Man,1996
The Hunchback of Notre Dame,1996
The Island of Dr. Moreau,1996
The Juror,1996
The Long Kiss Goodnight,1996
The Nutty Professor,1996
The Phantom,1996
The Rock,1996
Thinner,1996
Trainspotting,1996
Twister,1996
Justice League,2017
Avatar 2,2016
Pirates of the Caribbean: Dead Men Tell No Tales,2016
The Flash,2016
2001: A Space Odyssey,1968
Bullitt,1968
C'era una volta il West,1968
Chitty Chitty Bang Bang,1968
Funny Girl,1968
Hang 'Em High,1968
Night of the Living Dead,1968
Oliver!,1968
Planet of the Apes,1968
Romeo and Juliet,1968
Rosemary's Baby,1968
The Legend of Lylah Clare,1968
The Odd Couple,1968
Where Eagles Dare,1968
It Happened One Night,1934
Citizen Kane,1941
Dumbo,1941
The Maltese Falcon,1941
Abre los ojos,1997
Air Force One,1997
Alien: Resurrection,1997
Amistad,1997
An American Werewolf in Paris,1997
Anaconda,1997
Anastasia,1997
Austin Powers: International Man of Mystery,1997
Batman & Robin,1997
Bean,1997
Carne tremula,1997
Con Air,1997
Conspiracy Theory,1997
Contact,1997
Cop Land,1997
Cube,1997
Dante's Peak,1997
Deconstructing Harry,1997
Donnie Brasco,1997
Event Horizon,1997
Face/Off,1997
Fools Rush In,1997
Funny Games,1997
G.I. Jane,1997
Gattaca,1997
George of the Jungle,1997
Good Burger,1997
Good Will Hunting,1997
Grosse Pointe Blank,1997
Gummo,1997
Hercules,1997
Home Alone 3,1997
I Know What You Did Last Summer,1997
Jackie Brown,1997
Kiss the Girls,1997
L.A. Confidential,1997
La vita e bella,1997
Liar Liar,1997
Lolita,1997
Lost Highway,1997
Men in Black,1997
Midnight in the Garden of Good and Evil,1997
Mimic,1997
Money Talks,1997
Mononoke-hime,1997
Mortal Kombat: Annihilation,1997
Mousehunt,1997
My Best Friend's Wedding,1997
Nothing to Lose,1997
Plump Fiction,1997
Private Parts,1997
Romy and Michele's High School Reunion,1997
Scream 2,1997
Selena,1997
Seven Years in Tibet,1997
Snow White: A Tale of Terror,1997
Spawn,1997
Speed 2: Cruise Control,1997
Spice World,1997
Starship Troopers,1997
Suicide Kings,1997
The Borrowers,1997
The Devil's Advocate,1997
The Devil's Own,1997
The Edge,1997
The Fifth Element,1997
The Game,1997
The Jackal,1997
The Lost World: Jurassic Park,1997
The Postman,1997
The Rainmaker,1997
The Saint,1997
Titanic,1997
Tomorrow Never Dies,1997
U Turn,1997
Vegas Vacation,1997
Volcano,1997
A bout de souffle,1960
La dolce vita,1960
Ocean's Eleven,1960
Plein soleil,1960
Spartacus,1960
The Apartment,1960
The Magnificent Seven,1960
The Time Machine,1960
All About Eve,1950
Cinderella,1950
Harvey,1950
Rashomon,1950
Sunset Blvd.,1950
Tea for Two,1950
Doctor Zhivago,1965
Per qualche dollaro in piu,1965
Repulsion,1965
The Sound of Music,1965
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,1965
Thunderball,1965
Animal House,1978
Convoy,1978
Dawn of the Dead,1978
Days of Heaven,1978
Every Which Way But Loose,1978
Force 10 from Navarone,1978
Grease,1978
Halloween,1978
Invasion of the Body Snatchers,1978
Jaws 2,1978
Midnight Express,1978
Piranha,1978
Superman,1978
The Cheap Detective,1978
The Deer Hunter,1978
The Wiz,1978
Up in Smoke,1978
Watership Down,1978
Metropolis,1927
8-1/2,1963
Bye Bye Birdie,1963
Charade,1963
Cleopatra,1963
From Russia with Love,1963
"It's a Mad, Mad, Mad, Mad World",1963
Lord of the Flies,1963
The Birds,1963
The Great Escape,1963
The Pink Panther,1963
The Sword in the Stone,1963
3 Ninjas,1992
A Few Good Men,1992
A League of Their Own,1992
A River Runs Through It,1992
Aladdin,1992
Alien 3,1992
Army of Darkness,1992
Batman Returns,1992
Beethoven,1992
Bitter Moon,1992
Boomerang,1992
Braindead,1992
Buffy the Vampire Slayer,1992
Candyman,1992
Captain Ron,1992
Chaplin,1992
Como agua para chocolate,1992
Damage,1992
Death Becomes Her,1992
El mariachi,1992
Encino Man,1992
Far and Away,1992
FernGully: The Last Rainforest,1992
Forever Young,1992
Glengarry Glen Ross,1992
Home Alone 2: Lost in New York,1992
Howards End,1992
Jennifer Eight,1992
Juice,1992
Lethal Weapon 3,1992
Malcolm X,1992
My Cousin Vinny,1992
Newsies,1992
Of Mice and Men,1992
Passenger 57,1992
Patriot Games,1992
Reservoir Dogs,1992
Scent of a Woman,1992
School Ties,1992
Single White Female,1992
Sister Act,1992
Sneakers,1992
Strictly Ballroom,1992
The Bodyguard,1992
The Crying Game,1992
The Cutting Edge,1992
The Hand That Rocks the Cradle,1992
The Last of the Mohicans,1992
The Lawnmower Man,1992
The Mighty Ducks,1992
Toys,1992
Twin Peaks: Fire Walk with Me,1992
Under Siege,1992
Unforgiven,1992
Universal Soldier,1992
Wayne's World,1992
White Men Can't Jump,1992
127 Hours,2010
13,2010
4.3.2.1,2010
5 Days of War,2010
A Nightmare on Elm Street,2010
A bout portant,2010
Ajeossi,2010
Akmareul boatda,2010
Alice in Wonderland,2010
All Good Things,2010
And Soon the Darkness,2010
Animal Kingdom,2010
Another Year,2010
Barney's Version,2010
Beginners,2010
Birdemic: Shock and Terror,2010
Biutiful,2010
Black Death,2010
Black Swan,2010
Blue Valentine,2010
Boy,2010
Bunraku,2010
Buried,2010
Burke and Hare,2010
Burlesque,2010
Ca$h,2010
Casino Jack,2010
Catfish,2010
Cemetery Junction,2010
Centurion,2010
Charlie St. Cloud,2010
Chatroom,2010
Clash of the Titans,2010
Conviction,2010
Cop Out,2010
Country Strong,2010
Cyrus,2010
Das letzte Schweigen,2010
Date Night,2010
Daydream Nation,2010
Dear John,2010
Death at a Funeral,2010
Despicable Me,2010
Devil,2010
Diary of a Wimpy Kid,2010
Dinner for Schmucks,2010
Dog Pound,2010
Don't Be Afraid of the Dark,2010
Due Date,2010
Easy A,2010
Eat Pray Love,2010
Edge of Darkness,2010
Elle s'appelait Sarah,2010
Every Day,2010
Everything Must Go,2010
Exit Through the Gift Shop,2010
Extraordinary Measures,2010
Fair Game,2010
Faster,2010
Flipped,2010
For Colored Girls,2010
Four Lions,2010
From Paris with Love,2010
Frozen,2010
Get Him to the Greek,2010
Going the Distance,2010
Green Zone,2010
Greenberg,2010
Grown Ups,2010
Gulliver's Travels,2010
Habitacion en Roma,2010
Haevnen,2010
Happythankyoumoreplease,2010
Harry Potter and the Deathly Hallows: Part 1,2010
Henry's Crime,2010
Hereafter,2010
Hesher,2010
High School,2010
Hot Tub Time Machine,2010
How Do You Know,2010
How to Make Love to a Woman,2010
How to Train Your Dragon,2010
Howl,2010
I Spit on Your Grave,2010
I'm Still Here,2010
Incendies,2010
Inception,2010
Inside Job,2010
Insidious,2010
Iron Man 2,2010
It's Kind of a Funny Story,2010
Jackass 3D,2010
Jonah Hex,2010
Jusan-nin no shikaku,2010
Just Wright,2010
Kari-gurashi no Arietti,2010
Killers,2010
Knight and Day,2010
Kongen av Bastoy,2010
L'arnacoeur,2010
Last Night,2010
Leap Year,2010
Legend of the Guardians: The Owls of Ga'Hoole,2010
Legion,2010
Les aventures extraordinaires d'Adele Blanc-Sec,2010
Les petits mouchoirs,2010
Let Me In,2010
Letters to Juliet,2010
Life as We Know It,2010
Little Fockers,2010
Locked In,2010
Loft,2010
London Boulevard,2010
Los ojos de Julia,2010
Lottery Ticket,2010
Love & Other Drugs,2010
MacGruber,2010
Machete,2010
Marmaduke,2010
Megamind,2010
Monsters,2010
Morning,2010
Morning Glory,2010
Mother's Day,2010
My Name Is Khan,2010
My Soul to Take,2010
Nanny McPhee and the Big Bang,2010
Never Let Me Go,2010
Our Family Wedding,2010
Paranormal Activity 2,2010
Passion Play,2010
Percy Jackson & the Olympians: The Lightning Thief,2010
Piranha 3D,2010
Predators,2010
Prince of Persia: The Sands of Time,2010
Prowl,2010
Rabbit Hole,2010
Ramona and Beezus,2010
Red,2010
Remember Me,2010
Repo Men,2010
Resident Evil: Afterlife,2010
Robin Hood,2010
Rubber,2010
Salt,2010
Saw 3D,2010
Scott Pilgrim vs. the World,2010
Secretariat,2010
Senna,2010
Shanghai,2010
She's Out of My League,2010
Shelter,2010
Shrek Forever After,2010
Shutter Island,2010
Skyline,2010
Snabba cash,2010
Somewhere,2010
Somos lo que hay,2010
Stake Land,2010
Step Up 3D,2010
Stone,2010
StreetDance 3D,2010
Super,2010
TRON: Legacy,2010
Takers,2010
Tamara Drewe,2010
Tangled,2010
Tekken,2010
The A-Team,2010
The American,2010
The Back-up Plan,2010
The Bang Bang Club,2010
The Book of Eli,2010
The Bounty Hunter,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
The Clinic,2010
The Company Men,2010
The Conspirator,2010
The Crazies,2010
The Debt,2010
The Expendables,2010
The Experiment,2010
The Fighter,2010
The Final,2010
The Ghost Writer,2010
The Karate Kid,2010
The Kids Are All Right,2010
The Killer Inside Me,2010
The King's Speech,2010
The Last Airbender,2010
The Last Exorcism,2010
The Last Song,2010
The Losers,2010
The Next Three Days,2010
The Other Guys,2010
The Penthouse,2010
The Perfect Host,2010
The Presence,2010
The Reef,2010
The Romantics,2010
The Runaways,2010
The Shrine,2010
The Social Network,2010
The Sorcerer's Apprentice,2010
The Spy Next Door,2010
The Switch,2010
The Tortured,2010
The Tourist,2010
The Town,2010
The Trip,2010
The Twilight Saga: Eclipse,2010
The Ward,2010
The Warrior's Way,2010
The Way,2010
The Way Back,2010
The Wolfman,2010
Tiny Furniture,2010
"Tomorrow, When the War Began",2010
Tooth Fairy,2010
Toy Story 3,2010
Triple Dog,2010
Trolljegeren,2010
Tropa de Elite 2 - O Inimigo Agora E Outro,2010
True Grit,2010
Tucker and Dale vs Evil,2010
Twelve,2010
Unstoppable,2010
Unthinkable,2010
Valentine's Day,2010
Vampires Suck,2010
Vanishing on 7th Street,2010
Waiting for Forever,2010
Wall Street: Money Never Sleeps,2010
Welcome to the Rileys,2010
When in Rome,2010
Why Did I Get Married Too?,2010
Winter's Bone,2010
Womb,2010
Wrecked,2010
Yip Man 2,2010
Yip Man chinchyun,2010
Yogi Bear,2010
You Again,2010
You Will Meet a Tall Dark Stranger,2010
1941,1979
Alien,1979
Apocalypse Now,1979
Being There,1979
Caligola,1979
Escape from Alcatraz,1979
Hair,1979
Kramer vs. Kramer,1979
Life of Brian,1979
Mad Max,1979
Manhattan,1979
Meatballs,1979
Moonraker,1979
Quadrophenia,1979
Rocky II,1979
Stalker,1979
Star Trek: The Motion Picture,1979
The Amityville Horror,1979
The Black Hole,1979
The Jerk,1979
The Warriors,1979
Zombi 2,1979
37.2 le matin,1986
Aliens,1986
An American Tail,1986
Back to School,1986
Big Trouble in Little China,1986
Blue Velvet,1986
Cobra,1986
Crocodile Dundee,1986
Der Name der Rose,1986
Ferris Bueller's Day Off,1986
Flight of the Navigator,1986
Hannah and Her Sisters,1986
Heartbreak Ridge,1986
Highlander,1986
Hoosiers,1986
House,1986
Howard the Duck,1986
Jason Lives: Friday the 13th Part VI,1986
Labyrinth,1986
Little Shop of Horrors,1986
Manhunter,1986
Maximum Overdrive,1986
Nine 1/2 Weeks,1986
Platoon,1986
Poltergeist II: The Other Side,1986
Psycho III,1986
River's Edge,1986
Short Circuit,1986
Sid and Nancy,1986
SpaceCamp,1986
Stand by Me,1986
Star Trek IV: The Voyage Home,1986
Tenku no shiro Rapyuta,1986
The Color of Money,1986
The Delta Force,1986
The Fly,1986
The Great Mouse Detective,1986
The Hitcher,1986
"The Karate Kid, Part II",1986
The Mission,1986
The Money Pit,1986
The Mosquito Coast,1986
The Transformers: The Movie,1986
The Wraith,1986
Three Amigos!,1986
Top Gun,1986
High Noon,1952
Singin' in the Rain,1952
The Member of the Wedding,1952
The Quiet Man,1952
Bonnie and Clyde,1967
Casino Royale,1967
Cool Hand Luke,1967
Divorce American Style,1967
Guess Who's Coming to Dinner,1967
In the Heat of the Night,1967
The Dirty Dozen,1967
The Jungle Book,1967
The Producers,1967
Valley of the Dolls,1967
Wait Until Dark,1967
You Only Live Twice,1967
The Lady Vanishes,1938
East of Eden,1955
Lady and the Tramp,1955
Les diaboliques,1955
Rebel Without a Cause,1955
The Night of the Hunter,1955
The Seven Year Itch,1955
To Catch a Thief,1955
11:14,2003
2 Fast 2 Furious,2003
21 Grams,2003
A Guy Thing,2003
A Man Apart,2003
Agent Cody Banks,2003
All the Real Girls,2003
American Splendor,2003
American Wedding,2003
Anger Management,2003
Anything Else,2003
Bad Boys II,2003
Bad Santa,2003
Basic,2003
Beyond Borders,2003
Big Fish,2003
Brother Bear,2003
Bruce Almighty,2003
Bulletproof Monk,2003
Camp,2003
Charlie's Angels: Full Throttle,2003
Chasing Papi,2003
Cheaper by the Dozen,2003
Cold Mountain,2003
Cradle 2 the Grave,2003
Daddy Day Care,2003
Daredevil,2003
Darkness Falls,2003
Dogville,2003
Dr. Seuss' The Cat in the Hat,2003
Dreamcatcher,2003
Dumb and Dumberer: When Harry Met Lloyd,2003
Duplex,2003
Elephant,2003
Elf,2003
Final Destination 2,2003
Finding Nemo,2003
Freaky Friday,2003
Freddy vs. Jason,2003
Girl with a Pearl Earring,2003
Good Bye Lenin!,2003
Gothika,2003
Grind,2003
Haute tension,2003
Holes,2003
House of 1000 Corpses,2003
House of Sand and Fog,2003
